country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population
Qatar,36,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,,Asia,2654.379
Spain,37,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,,Europe,46634.131
Algeria,38,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,,Africa,40551.398
Guatemala,39,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,,North America,16583.079
Suriname,40,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,,South America,564.883
Kuwait,41,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,,Asia,3956.862
Bahrain,42,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,,Asia,1425.793
Trinidad and Tobago,43,6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,,North America,1377.563
Venezuela,44,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,,South America,29851.249
Slovakia,45,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,,Europe,5442.001
El Salvador,46,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,,North America,6356.137
Malaysia,47,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,,Asia,30684.652
Nicaragua,48,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292,,North America,6303.97
Uzbekistan,49,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,,Asia,31441.753
Italy,50,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,,Europe,60663.068
Ecuador,51,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,,South America,16491.116
Belize,52,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,,North America,368.399
Japan,53,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,,Asia,127763.267
Kazakhstan,54,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,,Asia,17830.902
Moldova,55,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903,,Europe,4066.013
Russia,56,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,,Asia,145275.374
Poland,57,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,,Europe,37989.218
South Korea,57,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716,,Asia,25307.665
Bolivia,59,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746,,South America,11031.822
Lithuania,60,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,,Europe,2889.555
Belarus,61,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,,Europe,9445.638
North Cyprus,62,5.771,1.31141,0.81826,0.84142,0.43596,0.26322,0.16578,,Europe,1170.189
Slovenia,63,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,,Europe,2074.205
Peru,64,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,,South America,30926.036
Turkmenistan,65,5.658,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467,,Asia,5662.371
Mauritius,66,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203,,Africa,1261.87
Libya,67,5.615,1.06688,0.95076,0.52304,0.40672,0.17087,0.10339,,Africa,6492.16
Latvia,68,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,,Europe,1974.265
Cyprus,69,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,,Europe,1170.187
Paraguay,70,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,,South America,6777.878
Romania,71,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,,Europe,19796.28
Estonia,72,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,,Europe,1316.507
Jamaica,73,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294,,North America,2906.242
Croatia,74,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,,Europe,4208.611
Hong Kong,75,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,,Asia,7243.541
Somalia,76,5.44,0,0.33613,0.11466,0.56778,0.27225,0.3118,,Africa,14185.635
Kosovo,77,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,,Europe,1617
Turkey,78,5.389,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348,,Asia,79827.868
Indonesia,79,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,,Asia,261556.386
Jordan,80,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297,,Asia,9554.286
Azerbaijan,81,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,,Europe,9736.041
Philippines,82,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,,Asia,103663.812
China,83,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,,Asia,1414049.353
Bhutan,84,5.196,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616,,Asia,736.706
Kyrgyzstan,85,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762,,Asia,6074.327
Serbia,86,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,,Europe,8853.963
Bosnia and Herzegovina,87,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0,,Europe,3386.263
